,name,nick_name,fight_record,height,weight,reach,stance,DOB
1588,Joe Ray,,5-3-0,--,170 lbs.,--,,"Dec 17, 1984"
1589,Rick Roufus,,4-6-0,"6' 0""",207 lbs.,--,Southpaw,--
1590,Wagner da Conceicao Martins,Zuluzinho,8-7-0 (1 NC),"6' 7""",390 lbs.,--,Orthodox,"May 19, 1978"
1591,Jeremiah O'Neal,,13-25-0,"5' 8""",260 lbs.,--,,"Oct 25, 1977"
1592,Max Griffin,Pain,14-6-0,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985"
1593,Atsushi Yamamoto,,15-7-3,"5' 6""",139 lbs.,--,Orthodox,"Oct 02, 1980"
1594,Ryan Jensen,,15-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Sep 20, 1977"
1595,Luana Carolina,Dread,4-1-0,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 11, 1993"
1596,Spencer Fisher,The King,25-9-0,"5' 7""",155 lbs.,"70""",Southpaw,"May 09, 1976"
1597,Erik Perez,Goyito,17-6-0,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989"
1598,Chico Camus,The King,14-7-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985"
1599,Johnny Eduardo,,28-12-0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978"
1600,Brock Lesnar,,5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977"
1601,Jarrod Kwitty,,2-2-0,"5' 8""",185 lbs.,--,,--
1602,Eddie Yagin,The Filipino Phenom,16-5-1,"5' 7""",145 lbs.,--,Orthodox,"Mar 23, 1979"
1603,Mario Miranda,,12-3-0,"6' 3""",185 lbs.,"74""",Orthodox,"Jul 12, 1979"
1604,Melvin Guillard,The Young Assassin,48-15-3 (2 NC),"5' 9""",155 lbs.,"68""",Orthodox,"Mar 30, 1983"
1605,Solomon Hutcherson,King,11-7-0 (1 NC),"5' 11""",185 lbs.,--,Southpaw,"Aug 31, 1972"
1606,Danny Abbadi,The Assassin,4-6-0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
1607,Livinha Souza,The Brazilian Gangsta,13-1-0,"5' 5""",115 lbs.,"63""",Orthodox,"Mar 11, 1991"
1608,Michael Patt,,12-4-0,"6' 0""",205 lbs.,--,Orthodox,--
1609,Kier Gooch,,2-7-0,--,155 lbs.,--,,"Apr 21, 1986"
1610,Matt Lucas,Luke Duke,14-2-0,"6' 1""",205 lbs.,--,,--
1611,Chris Weidman,The All-American,14-4-0,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984"
1612,Courtney Turner,,0-3-0,"6' 2""",170 lbs.,--,,--
1613,Hatsu Hioki,,27-9-2,"5' 11""",145 lbs.,"70""",Orthodox,"Jul 18, 1983"
1614,Jon Manley,,7-3-0,"6' 1""",170 lbs.,"75""",Orthodox,"Jul 07, 1986"
1615,Neiman Gracie,,6-0-0,"6' 0""",170 lbs.,--,,--
1616,Adam Antolin,Captain Chaos,12-3-0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
1617,Todd Brown,Bulldog,15-4-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"Dec 13, 1976"
1618,Cain Carrizosa,The Insane,6-2-0,"5' 8""",155 lbs.,"74""",Orthodox,"Jul 22, 1986"
1619,Hugo Govea,,0-1-0,--,--,--,,--
1620,Makwan Amirkhani,Mr. Finland,14-3-0,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988"
1621,Patrick Kaase,Kamikaze,1-2-0,"5' 9""",185 lbs.,--,,--
1622,Marion Reneau,The Belizean Bruiser,9-4-1,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 20, 1977"
1623,James Zikic,The Messenger,20-8-2,"6' 2""",205 lbs.,--,Orthodox,"Mar 01, 1977"
1624,Doug Marshall,The Rhino,13-5-0,"5' 10""",205 lbs.,--,Orthodox,"Sep 09, 1975"
1625,Renato Sobral,Babalu,36-9-0,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975"
1626,Motonobu Tezuka,,19-6-4,"5' 7""",135 lbs.,"66""",Southpaw,"Aug 29, 1987"
1627,Josh McDonald,,8-4-0 (1 NC),--,185 lbs.,--,,--
1628,Evan Tanner,,32-8-0,"6' 0""",185 lbs.,"74""",Orthodox,"Feb 11, 1971"
1629,Phil Davis,Mr. Wonderful,13-3-0 (1 NC),"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984"
1630,Gabriel Salinas-Jones,,5-2-1,"6' 1""",245 lbs.,--,,"Nov 20, 1984"
1631,Colby Covington,Chaos,14-1-0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988"
1632,Alvin Robinson,,12-6-0,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982"
1633,Paulo Santos,,0-3-0,--,--,--,,--
1634,Dan Barrera,The Fireman,3-1-0,"5' 9""",170 lbs.,--,Orthodox,"Dec 23, 1980"
1635,Joey Roberts,,4-3-0,"6' 2""",200 lbs.,--,,--
1636,Jesus Pinedo,El Mudo,16-4-1,"5' 10""",155 lbs.,--,,"Jun 22, 1996"
1637,Marvin Eastman,The Beastman,17-14-1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971"
1638,Haven Torres,,0-0-0,--,125 lbs.,--,,--
1639,Phil Harris,Billy,22-12-0 (2 NC),"5' 4""",125 lbs.,"64""",Orthodox,"Sep 04, 1983"
1640,Jumabieke Tuerxun,Leopard,17-3-1,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 17, 1986"
1641,Mark Hughes,,6-2-0,"5' 9""",205 lbs.,--,Southpaw,"Oct 13, 1973"
1642,Liu Pingyuan,,13-5-0,"5' 6""",135 lbs.,"72""",Orthodox,"Feb 13, 1993"
1643,Brian Camozzi,Mantis,7-5-0,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991"
1644,Keith Mielke,,0-5-0,"5' 8""",185 lbs.,--,,--
1645,Tyler Stinson,The Evolution,22-8-0,"6' 3""",170 lbs.,--,,"Jan 17, 1986"
1646,Ernest Chavez,The Mad Titan,8-2-0,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983"
1647,Hector Lombard,,34-10-1 (2 NC),"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978"
1648,Steve Steinbeiss,The Hooligan,7-4-0,"6' 3""",185 lbs.,"75""",Orthodox,"May 05, 1981"
1649,Jordan Johnson,,10-0-0,"6' 2""",205 lbs.,"79""",Orthodox,"Nov 18, 1988"
1650,Art Arciniega,King Arthur,15-7-0,"5' 8""",145 lbs.,--,,"Oct 15, 1981"
1651,Francimar Barroso,Bodao,19-7-0 (1 NC),"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980"
1652,Mike Brown,,26-9-0,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 08, 1975"
1653,Marcus Jones,The Darkness,4-2-0,"6' 6""",265 lbs.,--,Orthodox,"Aug 15, 1973"
1654,Isaiah Hill,,5-7-1 (1 NC),"5' 10""",155 lbs.,--,,--
1655,Marcos Rogerio de Lima,Pezao,16-6-1,"6' 1""",253 lbs.,"75""",Orthodox,"Jun 25, 1985"
1656,Ion Cherdivara,,1-1-0,--,205 lbs.,--,,--
1657,Bryan Vetell,,4-3-0,"6' 3""",265 lbs.,--,Southpaw,"Jul 26, 1977"
1658,Maiju Kujala,,6-3-0,--,135 lbs.,--,,--
1659,Azamat Gashimov,,10-3-0,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 07, 1990"
1660,Jorge Lopez,,11-3-0,"5' 10""",170 lbs.,--,Orthodox,"Nov 21, 1988"
1661,Matt Van Buren,Gutter,7-4-0,"6' 5""",205 lbs.,"76""",,"Jun 12, 1986"
1662,Chris Barnhizer,,1-3-0,--,--,--,,--
1663,Alistair Overeem,The Demolition Man,44-17-0 (1 NC),"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
1664,Iliarde Santos,,27-9-1 (1 NC),"5' 5""",125 lbs.,"66""",Orthodox,"Sep 25, 1980"
1665,Tomoya Miyashita,,17-9-7,"5' 7""",139 lbs.,--,Southpaw,--
1666,Jeff Hougland,Hellbound,10-6-0,"5' 7""",135 lbs.,"68""",Orthodox,"Aug 02, 1978"
1667,James Hammortree,The Sledge,6-2-0,"6' 3""",185 lbs.,--,Orthodox,"Nov 29, 1983"
1668,Bibiano Fernandes,,10-3-0,"5' 7""",139 lbs.,--,Orthodox,"Mar 30, 1980"
1669,Hidehiko Hasegawa,,19-15-6,"5' 9""",170 lbs.,--,,"Jul 13, 1978"
1670,Anderson Silva,The Spider,34-9-0 (1 NC),"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975"
1671,Mike Davis,,2-0-0,--,--,--,,--
1672,Andre Amado,Dida,6-4-1,"6' 0""",154 lbs.,--,Orthodox,--
1673,Elias Garcia,,6-2-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 13, 1992"
1674,Miika Mehmet,,3-4-0,--,205 lbs.,--,Orthodox,--
1675,Jessica Penne,,12-6-0,"5' 5""",115 lbs.,"67""",,"Jan 30, 1983"
1676,Everett Sims,Sexual Chocolate,4-1-0,"6' 5""",260 lbs.,"77""",Southpaw,"Sep 04, 1988"
1677,Scott Junk,,8-3-1 (1 NC),"6' 1""",265 lbs.,--,Orthodox,"Dec 17, 1978"
1678,Joe Schilling,,2-5-0,"6' 3""",185 lbs.,--,,--
1679,Markus Perez,Maluko,11-2-0,"6' 1""",185 lbs.,"73""",Orthodox,"Jun 22, 1988"
1680,Rodolfo Rubio,Fito,12-8-1,"5' 5""",145 lbs.,"66""",Orthodox,"Jan 29, 1987"
1681,Ron Keslar,,7-3-0,--,185 lbs.,--,,--
1682,Danny Martinez,The Gremlin,18-7-0,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985"
1683,Zubaira Tukhugov,Warrior,18-4-0,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 15, 1991"
1684,Darko Stosic,,13-1-0,"6' 0""",205 lbs.,"76""",Orthodox,"Feb 09, 1992"
1685,John Dixson,Big John,15-22-0,"6' 0""",275 lbs.,--,Orthodox,--
1686,Robert Peralta,Problems,18-6-0 (1 NC),"5' 8""",145 lbs.,"71""",Orthodox,"Mar 14, 1986"
1687,John Dowdy,,0-2-0,--,--,--,,--
1688,Din Thomas,Dinyero,25-8-0 (1 NC),"5' 9""",155 lbs.,--,Orthodox,"Sep 28, 1976"
1689,Michael Byrnes,,5-2-0,"5' 11""",155 lbs.,--,,"Jul 17, 1990"
1690,Bu-Kyung Jung,,0-4-0,"5' 7""",154 lbs.,--,Orthodox,"May 26, 1978"
1691,Kyle Kingsbury,Kingsbu,11-6-0 (1 NC),"6' 4""",205 lbs.,"76""",Orthodox,"Mar 22, 1982"
1692,Alex Oliveira,Cowboy,19-5-1 (2 NC),"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
1693,Jay Bogan,,6-6-0,--,145 lbs.,--,,--
1694,Michelle Maher,,1-2-0,--,145 lbs.,--,,--
1695,Poliana Botelho,,7-2-0,"5' 8""",115 lbs.,--,Orthodox,"Dec 15, 1988"
1696,Brian Gassaway,,29-20-2 (1 NC),"6' 1""",170 lbs.,--,Orthodox,"Aug 07, 1972"
1697,Ian Heinisch,The Hurricane,12-1-0,"5' 11""",185 lbs.,--,Orthodox,"Aug 05, 1988"
1698,Joshua Burkman,The People's Warrior,29-17-0 (1 NC),"5' 10""",170 lbs.,"72""",Orthodox,"Apr 10, 1980"
1699,Neil Wain,Old School,10-3-0,"5' 10""",242 lbs.,--,Orthodox,--
1700,CB Dollaway,The Doberman,18-10-0,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983"
1701,Chan Sung Jung,The Korean Zombie,14-5-0,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987"
1702,Rafael Rebello,Rafinha,7-4-0,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 16, 1980"
1703,Gilles Arsene,,1-1-0,"5' 9""",190 lbs.,--,Southpaw,--
1704,Roman Dolidze,,5-0-0,"6' 3""",205 lbs.,--,,"Jul 15, 1988"
1705,Fernando Bruno,Acougueiro,16-4-0,"5' 6""",145 lbs.,"70""",,"Feb 24, 1982"
1706,Thomas Diagne,,5-4-1,"6' 1""",154 lbs.,--,,"Sep 03, 1983"
1707,Rick Story,The Horror,19-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"Aug 28, 1984"
1708,Jason Novelli,Pepsi,11-3-1,"6' 0""",155 lbs.,"75""",Orthodox,"Jun 08, 1979"
1709,Jeremy Umphries,,5-2-0,--,160 lbs.,--,,--
1710,Wilson Gouveia,,12-8-0,"6' 1""",185 lbs.,"76""",Orthodox,"Oct 03, 1978"
1711,Anthony Figueroa,,5-6-1,"5' 4""",135 lbs.,--,Orthodox,--
1712,Jeremiah Billington,,11-2-0,"5' 9""",205 lbs.,--,Orthodox,"Nov 14, 1977"
1713,Naoki Inoue,,11-1-0,"5' 9""",125 lbs.,"71""",Orthodox,"Jun 14, 1997"
1714,Charles McCarthy,Chainsaw,10-5-0,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980"
1715,Adrian Serrano,,56-29-4,"5' 8""",170 lbs.,--,,"Dec 23, 1963"
1716,Tatsuya Mizuno,,10-7-1,"6' 1""",205 lbs.,--,Southpaw,"Jun 02, 1981"
1717,Matt Serra,The Terra,11-7-0,"5' 6""",170 lbs.,"68""",Orthodox,"Jun 02, 1974"
1718,Mehdi Baghdad,The Sultan,11-4-0,"6' 1""",155 lbs.,"75""",Orthodox,"Apr 13, 1985"
1719,Jonny Goh,,3-4-0,"5' 11""",155 lbs.,--,,--
1720,Brandon Moreno,The Assassin Baby,14-5-0,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993"
1721,Kris McCray,Savage,6-3-0,"6' 0""",170 lbs.,"76""",Orthodox,"Sep 24, 1981"
1722,Milana Dudieva,,11-5-0,"5' 3""",135 lbs.,"61""",Orthodox,"Aug 04, 1989"
1723,Phil Baroni,The New York Bad Ass,14-15-0,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976"
1724,John Dodson,The Magician,21-10-0,"5' 3""",135 lbs.,"66""",Orthodox,"Sep 26, 1984"
1725,Willie Parks,Slick,4-1-0,"5' 10""",185 lbs.,--,,"Nov 04, 1983"
1726,Josh Parisian,,7-2-0,"6' 4""",265 lbs.,--,Orthodox,"Jun 28, 1989"
1727,Mike Ricci,The Martian,9-4-0,"6' 0""",155 lbs.,"77""",Southpaw,"Mar 18, 1986"
1728,Sheldon Westcott,,10-3-1,"6' 1""",170 lbs.,"71""",Southpaw,"Aug 20, 1984"
1729,Alex Morono,The Great White,15-5-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
1730,Chas Skelly,The Scrapper,17-4-0,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985"
1731,Kai Kara-France,Don't Blink,19-7-0 (1 NC),"5' 5""",125 lbs.,"69""",Orthodox,"Mar 26, 1993"
1732,Reynaldo Trujillo,The Truth,8-7-0,"5' 9""",155 lbs.,--,,"Jan 01, 1982"
1733,Tom Aaron,,5-3-0,--,155 lbs.,--,,"Jul 13, 1978"
1734,Frank Trigg,Twinkle Toes,21-9-0,"5' 9""",170 lbs.,"71""",Southpaw,"May 07, 1972"
1735,Lando Vannata,Groovy,10-3-2,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992"
1736,Scott Carson,,4-2-0,"6' 2""",215 lbs.,--,,--
1737,Jason Glaza,,3-2-0,"6' 0""",230 lbs.,--,,--
1738,Justin Eilers,The Hammer,19-7-1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978"
1739,Harry Moskowitz,Dirty,6-12-0,"6' 5""",275 lbs.,--,Orthodox,--
1740,Nick Diaz,,26-9-0 (2 NC),"6' 1""",185 lbs.,"76""",Southpaw,"Aug 02, 1983"
1741,JW Wright,,1-0-0,--,130 lbs.,--,,"Jan 12, 1976"
1742,Jeremy Kennedy,JBC,11-1-0,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 16, 1992"
1743,Jacob Noe,Psycho,5-1-0 (1 NC),--,205 lbs.,--,,--
1744,Kuniyoshi Hironaka,,19-8-0,"5' 10""",168 lbs.,"70""",Orthodox,"Jun 17, 1976"
1745,Ryan Jimmo,The Big Deal,19-5-0,"6' 1""",205 lbs.,"73""",Orthodox,"Nov 27, 1981"
1746,Trenell Young,Savant,9-8-0,"5' 6""",145 lbs.,--,Orthodox,"Jun 19, 1976"
1747,Misha Cirkunov,,14-4-0,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 27, 1987"
1748,Steve Garcia,Mean Machine,7-2-0,"6' 0""",135 lbs.,--,,"May 22, 1992"
1749,Paul Craig,Bearjew,10-3-0,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987"
1750,Chael Sonnen,,29-14-1,"6' 1""",205 lbs.,"74""",Southpaw,"Apr 03, 1977"
1751,Alejandro Villalobos,,17-5-0,"5' 7""",145 lbs.,--,,"Oct 26, 1979"
1752,Jonathan Rivera,,4-2-0,--,155 lbs.,--,,--
1753,Hyun Gyu Lim,The Ace,13-7-1,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985"
1754,Satoru Kitaoka,,29-11-9,"5' 6""",154 lbs.,--,,"Feb 04, 1980"
1755,Thomas Almeida,Thominhas,22-3-0,"5' 7""",135 lbs.,"70""",Southpaw,"Jul 31, 1991"
1756,Thiago Alves,Pitbull,28-13-0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983"
1757,Robert Breslin,The Bullet,3-9-0,"5' 11""",155 lbs.,--,,--
1758,Josh Bumgarner,,6-3-0,"6' 1""",170 lbs.,--,,--
1759,Paul Rodriguez,,10-8-2,"5' 7""",155 lbs.,--,Orthodox,--
1760,Scott Shaffer,,0-1-0,"5' 7""",145 lbs.,--,Orthodox,--
1761,Mike Bronzoulis,The Greek,13-3-1,"6' 0""",155 lbs.,--,,"Jan 05, 1979"
1762,Chad Cook,,9-9-0,"6' 2""",205 lbs.,--,,"Nov 07, 1979"
1763,Genki Sudo,Neo-Samurai,15-4-2,"5' 9""",155 lbs.,--,Orthodox,"Mar 08, 1978"
1764,Dennis Bryant,The Beard,5-1-0,"6' 0""",205 lbs.,"72""",Orthodox,"Oct 18, 1985"
1765,David Loiseau,The Crow,20-10-0,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979"
1766,Jesse Bongfeldt,Water,15-5-1,"6' 0""",185 lbs.,--,Orthodox,"Aug 28, 1980"
1767,Wayne Cole,,16-18-0,"6' 1""",205 lbs.,--,Orthodox,--
1768,Yoshiaki Yatsu,,0-2-0,"6' 1""",165 lbs.,--,Orthodox,"Jul 19, 1956"
1769,Lorenz Larkin,The Monsoon,18-5-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
1770,Sione Latu,,1-0-0,"6' 0""",215 lbs.,--,,--
1771,Sam Liera,,4-3-0,--,--,--,,--
1772,Ricardo Abreu,Demente,5-3-0,"5' 11""",185 lbs.,"73""",Orthodox,"Apr 27, 1984"
1773,Andy Ologun,,3-1-0,"6' 0""",154 lbs.,--,Orthodox,"Jun 12, 1983"
1774,Orlando Wiet,The Gladiator,1-5-0,"5' 10""",170 lbs.,--,Southpaw,--
1775,TJ Cook,,12-4-0,--,205 lbs.,--,,"Sep 08, 1982"
1776,Joe Wilk,The Nose,12-8-0,"5' 9""",145 lbs.,--,,"Apr 12, 1982"
1777,Ryan Diaz,,13-13-0,--,145 lbs.,--,,--
1778,Joe Hernandez,,0-1-0,--,--,--,,--
1779,Nam Phan,,18-14-0,"5' 6""",135 lbs.,"70""",Orthodox,"Mar 13, 1983"
1780,Marcin Tybura,Tybur,17-4-0,"6' 3""",249 lbs.,"78""",Orthodox,"Nov 09, 1985"
1781,Pedro Otavio,Te Pedro,19-8-0,"6' 3""",245 lbs.,--,Orthodox,--
1782,Jordan Griffin,NativePsycho,17-6-0,"5' 10""",145 lbs.,"72""",Southpaw,"Feb 28, 1990"
1783,Hans Stringer,,22-7-3,"6' 3""",205 lbs.,"73""",Orthodox,"Jul 06, 1987"
1784,Gabriel Gonzaga,Napao,17-11-0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979"
1785,Davi Ramos,Tasmanian Devil,9-2-0,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986"
1786,Josh Stansbury,The Sandman,8-5-0,"6' 2""",205 lbs.,"74""",,"Nov 19, 1984"
1787,Virgil Zwicker,RezDog,14-4-1,"6' 2""",205 lbs.,"74""",,"Jun 26, 1982"
1788,Jarred Brooks,The Monkey God,14-2-0,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993"
1789,Claudionor Fontinelle,,9-13-1,"5' 5""",185 lbs.,--,Orthodox,--
1790,Tonya Evinger,Triple Threat,19-7-0 (1 NC),"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981"
1791,Steve Montgomery,The Creepy Weasel,8-4-0,"6' 4""",185 lbs.,"75""",Southpaw,"Dec 19, 1990"
1792,Moti Horenstein,,1-6-0,"6' 4""",230 lbs.,--,Orthodox,--
1793,Chatt Lavender,,9-7-0,"5' 8""",170 lbs.,--,,"May 24, 1976"
1794,Polyana Viana,Dama de Ferro,10-2-0,"5' 5""",115 lbs.,"67""",Orthodox,"Jun 14, 1992"
1795,Ricardo Lamas,The Bully,19-7-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
1796,Tyra Parker,,1-2-0,"5' 5""",115 lbs.,--,Orthodox,--
1797,Rodolfo Marques Diniz,,14-1-1,"5' 6""",135 lbs.,--,,"Jan 23, 1984"
1798,Gesias Cavalcante,JZ,16-5-1 (1 NC),"5' 8""",155 lbs.,"71""",Orthodox,"Jul 06, 1983"
1799,Mark Coleman,The Hammer,16-10-0,"6' 1""",205 lbs.,"75""",Orthodox,"Dec 20, 1964"
1800,Kyosuke Sasaki,,3-7-4,"5' 7""",183 lbs.,--,Southpaw,--
1801,Tiago Trator,Trator,20-6-2 (1 NC),"5' 9""",145 lbs.,"70""",Orthodox,"Apr 12, 1987"
1802,Salvador Becerra,,5-2-0,"5' 9""",155 lbs.,--,,--
1803,Eduardo Pamplona,,15-3-0,"5' 11""",170 lbs.,--,,"Feb 20, 1973"
1804,Seichi Ikemoto,,20-17-5,"5' 11""",168 lbs.,--,Orthodox,"Aug 24, 1975"
1805,Lolohea Mahe,,5-2-1,--,--,--,,--
1806,Molly McCann,Meatball,7-2-0,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990"
1807,Keisuke Fujiwara,,11-4-4,"5' 6""",139 lbs.,--,Switch,--
1808,Janay Harding,Hollowpoint,3-2-0,--,135 lbs.,--,,--
1809,Jaimee Nievera,Queenie,7-3-0,"5' 5""",125 lbs.,--,Orthodox,"Oct 28, 1984"
1810,Matt Hobar,The Crowbar,9-3-0,"5' 10""",135 lbs.,"70""",Southpaw,"Jan 07, 1987"
1811,Murad Chunkaiev,,8-3-0,"5' 11""",185 lbs.,--,Orthodox,--
1812,Roshaun Jones,,2-6-0,"5' 8""",135 lbs.,--,,--
1813,Tony Sims,,12-4-0,"5' 11""",155 lbs.,"70""",Southpaw,"Oct 14, 1985"
1814,Rameau Thierry Sokoudjou,The African Assassin,12-10-0,"5' 10""",205 lbs.,"78""",Orthodox,"Apr 18, 1984"
1815,Masanori Tonooka,,1-2-0,"5' 8""",185 lbs.,--,Orthodox,--
1816,Syuri Kondo,,6-2-0,"5' 4""",115 lbs.,"66""",Orthodox,"Feb 08, 1989"
1817,Cody Canterbury,,1-10-0,"5' 8""",155 lbs.,--,,--
1818,Dominic Brown,,14-21-0,"5' 11""",190 lbs.,--,,"Jun 04, 1982"
1819,Christos Giagos,The Spartan,16-7-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990"
1820,David Hulett,Hollywood,18-9-0,"5' 10""",170 lbs.,--,,"Sep 07, 1980"
1821,Steve Lopez,,12-6-1,"5' 11""",155 lbs.,--,Orthodox,"Jul 30, 1984"
1822,Colleen Schneider,,1-3-0,--,135 lbs.,--,,--
1823,Gabrielle Holloway,Gabanator,6-5-0,"5' 3""",145 lbs.,--,,"Apr 15, 1990"
1824,Sean Alvarez,,4-3-0,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971"
1825,Sijara Eubanks,Sarj,5-2-0,"5' 4""",125 lbs.,"67""",,"Apr 27, 1985"
1826,Eric Jacob,,1-9-0,--,155 lbs.,--,,--
1827,Marcelo Guimaraes,Magrao,9-2-1,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 25, 1983"
1828,Eryk Anders,Ya Boi,11-3-0,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987"
1829,Ian Freeman,The Machine,19-7-1,"5' 11""",225 lbs.,--,Orthodox,"Nov 10, 1966"
1830,Bo Cantrell,Redrum,10-10-0,"6' 2""",235 lbs.,--,Orthodox,"Feb 08, 1969"
1831,Frank Mir,,18-11-0,"6' 3""",264 lbs.,"79""",Southpaw,"May 24, 1979"
1832,Parker Porter,,6-4-0,--,260 lbs.,--,,--
1833,Jorge Masvidal,Gamebred,32-13-0,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984"
1834,Jason Dent,Dynamite,21-12-0,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 12, 1980"
1835,Katsuya Inoue,,19-9-4,"5' 9""",168 lbs.,--,Southpaw,"Aug 10, 1979"
1836,Dominic Waters,Sho Nuff,9-5-0,"6' 1""",170 lbs.,"79""",Orthodox,"Apr 11, 1989"
1837,Takeshi Inoue,Lion,20-5-0,"5' 8""",145 lbs.,--,,"Mar 18, 1980"
1838,Gray Maynard,,14-8-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"May 09, 1979"
1839,Zach Rosol,,3-2-0,--,243 lbs.,--,,--
1840,Johnny Sampaio,,3-1-0,"5' 8""",170 lbs.,--,Orthodox,"Sep 11, 1975"
1841,Dino Pezao,,1-2-0,--,205 lbs.,--,Orthodox,--
1842,Luciano Azevedo,,16-9-1,"6' 3""",161 lbs.,--,Orthodox,"Jun 25, 1981"
1843,Hiromitsu Miura,,9-6-0,"5' 9""",170 lbs.,"71""",Orthodox,"Sep 22, 1981"
1844,Jussier Formiga,Formiga,22-5-0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985"
1845,Lavar Johnson,Big,17-7-0,"6' 4""",240 lbs.,"82""",Orthodox,"Jun 11, 1977"
1846,Cat Zingano,Alpha,10-4-0,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982"
1847,Ning Guangyou,Smasher,6-4-1,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981"
1848,Nolan Ticman,,4-3-0,"5' 6""",125 lbs.,"69""",Orthodox,"May 17, 1988"
1849,Raquel Pa'aluhi,Rocky,3-4-0,"5' 7""",135 lbs.,--,,--
1850,Humberto DeLeon,,6-5-0,--,135 lbs.,--,,"Nov 12, 1989"
1851,Geronimo dos Santos,Mondragon,31-14-0,"6' 3""",264 lbs.,--,Orthodox,"Aug 17, 1980"
1852,Jorge Interiano,,3-3-0,"6' 1""",205 lbs.,--,,--
1853,Georgi Karakhanyan,Insane,24-4-1,"5' 8""",145 lbs.,--,,"May 29, 1985"
1854,Julio Cesar Neves Jr.,Morceguinho,33-1-0,"5' 8""",145 lbs.,--,,"Apr 25, 1994"
