,fighter_1,fighter_2,end_round,end_time,winner,url,date,f1_r1_kds,f1_r1_sigstrikes_l,f1_r1_sigstrikes_a,f1_r1_strikes_l,f1_r1_strikes_a,f1_r1_tds_l,f1_r1_tds_a,f1_r1_subs_a,f1_r1_passes,f1_r1_revs,f1_r1_ss_head_l,f1_r1_ss_head_a,f1_r1_ss_body_l,f1_r1_ss_body_a,f1_r1_ss_leg_l,f1_r1_ss_leg_a,f1_r1_ss_dist_l,f1_r1_ss_dist_a,f1_r1_ss_clinch_l,f1_r1_ss_clinch_a,f1_r1_ss_ground_l,f1_r1_ss_ground_a,f2_r1_kds,f2_r1_sigstrikes_l,f2_r1_sigstrikes_a,f2_r1_strikes_l,f2_r1_strikes_a,f2_r1_tds_l,f2_r1_tds_a,f2_r1_subs_a,f2_r1_passes,f2_r1_revs,f2_r1_ss_head_l,f2_r1_ss_head_a,f2_r1_ss_body_l,f2_r1_ss_body_a,f2_r1_ss_leg_l,f2_r1_ss_leg_a,f2_r1_ss_dist_l,f2_r1_ss_dist_a,f2_r1_ss_clinch_l,f2_r1_ss_clinch_a,f2_r1_ss_ground_l,f2_r1_ss_ground_a,f1_r2_kds,f1_r2_sigstrikes_l,f1_r2_sigstrikes_a,f1_r2_strikes_l,f1_r2_strikes_a,f1_r2_tds_l,f1_r2_tds_a,f1_r2_subs_a,f1_r2_passes,f1_r2_revs,f1_r2_ss_head_l,f1_r2_ss_head_a,f1_r2_ss_body_l,f1_r2_ss_body_a,f1_r2_ss_leg_l,f1_r2_ss_leg_a,f1_r2_ss_dist_l,f1_r2_ss_dist_a,f1_r2_ss_clinch_l,f1_r2_ss_clinch_a,f1_r2_ss_ground_l,f1_r2_ss_ground_a,f2_r2_kds,f2_r2_sigstrikes_l,f2_r2_sigstrikes_a,f2_r2_strikes_l,f2_r2_strikes_a,f2_r2_tds_l,f2_r2_tds_a,f2_r2_subs_a,f2_r2_passes,f2_r2_revs,f2_r2_ss_head_l,f2_r2_ss_head_a,f2_r2_ss_body_l,f2_r2_ss_body_a,f2_r2_ss_leg_l,f2_r2_ss_leg_a,f2_r2_ss_dist_l,f2_r2_ss_dist_a,f2_r2_ss_clinch_l,f2_r2_ss_clinch_a,f2_r2_ss_ground_l,f2_r2_ss_ground_a,f1_r3_kds,f1_r3_sigstrikes_l,f1_r3_sigstrikes_a,f1_r3_strikes_l,f1_r3_strikes_a,f1_r3_tds_l,f1_r3_tds_a,f1_r3_subs_a,f1_r3_passes,f1_r3_revs,f1_r3_ss_head_l,f1_r3_ss_head_a,f1_r3_ss_body_l,f1_r3_ss_body_a,f1_r3_ss_leg_l,f1_r3_ss_leg_a,f1_r3_ss_dist_l,f1_r3_ss_dist_a,f1_r3_ss_clinch_l,f1_r3_ss_clinch_a,f1_r3_ss_ground_l,f1_r3_ss_ground_a,f2_r3_kds,f2_r3_sigstrikes_l,f2_r3_sigstrikes_a,f2_r3_strikes_l,f2_r3_strikes_a,f2_r3_tds_l,f2_r3_tds_a,f2_r3_subs_a,f2_r3_passes,f2_r3_revs,f2_r3_ss_head_l,f2_r3_ss_head_a,f2_r3_ss_body_l,f2_r3_ss_body_a,f2_r3_ss_leg_l,f2_r3_ss_leg_a,f2_r3_ss_dist_l,f2_r3_ss_dist_a,f2_r3_ss_clinch_l,f2_r3_ss_clinch_a,f2_r3_ss_ground_l,f2_r3_ss_ground_a,f1_r4_kds,f1_r4_sigstrikes_l,f1_r4_sigstrikes_a,f1_r4_strikes_l,f1_r4_strikes_a,f1_r4_tds_l,f1_r4_tds_a,f1_r4_subs_a,f1_r4_passes,f1_r4_revs,f1_r4_ss_head_l,f1_r4_ss_head_a,f1_r4_ss_body_l,f1_r4_ss_body_a,f1_r4_ss_leg_l,f1_r4_ss_leg_a,f1_r4_ss_dist_l,f1_r4_ss_dist_a,f1_r4_ss_clinch_l,f1_r4_ss_clinch_a,f1_r4_ss_ground_l,f1_r4_ss_ground_a,f2_r4_kds,f2_r4_sigstrikes_l,f2_r4_sigstrikes_a,f2_r4_strikes_l,f2_r4_strikes_a,f2_r4_tds_l,f2_r4_tds_a,f2_r4_subs_a,f2_r4_passes,f2_r4_revs,f2_r4_ss_head_l,f2_r4_ss_head_a,f2_r4_ss_body_l,f2_r4_ss_body_a,f2_r4_ss_leg_l,f2_r4_ss_leg_a,f2_r4_ss_dist_l,f2_r4_ss_dist_a,f2_r4_ss_clinch_l,f2_r4_ss_clinch_a,f2_r4_ss_ground_l,f2_r4_ss_ground_a,f1_r5_kds,f1_r5_sigstrikes_l,f1_r5_sigstrikes_a,f1_r5_strikes_l,f1_r5_strikes_a,f1_r5_tds_l,f1_r5_tds_a,f1_r5_subs_a,f1_r5_passes,f1_r5_revs,f1_r5_ss_head_l,f1_r5_ss_head_a,f1_r5_ss_body_l,f1_r5_ss_body_a,f1_r5_ss_leg_l,f1_r5_ss_leg_a,f1_r5_ss_dist_l,f1_r5_ss_dist_a,f1_r5_ss_clinch_l,f1_r5_ss_clinch_a,f1_r5_ss_ground_l,f1_r5_ss_ground_a,f2_r5_kds,f2_r5_sigstrikes_l,f2_r5_sigstrikes_a,f2_r5_strikes_l,f2_r5_strikes_a,f2_r5_tds_l,f2_r5_tds_a,f2_r5_subs_a,f2_r5_passes,f2_r5_revs,f2_r5_ss_head_l,f2_r5_ss_head_a,f2_r5_ss_body_l,f2_r5_ss_body_a,f2_r5_ss_leg_l,f2_r5_ss_leg_a,f2_r5_ss_dist_l,f2_r5_ss_dist_a,f2_r5_ss_clinch_l,f2_r5_ss_clinch_a,f2_r5_ss_ground_l,f2_r5_ss_ground_a
20,"Junior Albini ""Baby""","Jairzinho Rozenstruik ""Bigi Boy""",2,0:54,"Junior Albini ""Baby""",http://ufcstats.com/fight-details/491b7d974254596d,2019-02-02,0,12,21,20,29,2,6,0,4,0,5,14,3,3,4,4,9,16,1,2,2,3,0,9,16,16,23,0,0,0,0,1,5,14,3,3,4,4,9,16,1,2,2,3,0,12,21,20,29,2,6,0,4,0,7,14,0,0,2,2,6,13,2,2,1,1,1,10,11,10,11,0,0,0,0,0,2,2,0,0,4,4,6,6,0,0,0,0,0,6,6,6,6,0,0,0,0,0,8,9,0,0,2,2,3,4,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Geraldo de Freitas ""Spartan""","Felipe Colares ""Cabocao""",3,5:00,"Geraldo de Freitas ""Spartan""",http://ufcstats.com/fight-details/818456a713fdabe6,2019-02-02,0,19,27,25,34,1,2,0,4,2,8,15,9,10,2,2,12,19,6,6,1,2,0,7,20,9,22,3,4,0,3,0,8,15,9,10,2,2,12,19,6,6,1,2,0,19,27,25,34,1,2,0,4,2,2,12,2,2,3,6,5,17,1,1,1,2,0,6,13,9,18,0,1,0,1,0,11,18,3,5,1,1,8,16,6,7,1,1,0,15,24,19,28,2,4,0,2,0,3,8,3,5,0,0,3,9,3,3,0,1,0,8,18,10,20,0,3,0,0,0,12,21,2,3,1,1,13,21,1,3,1,1,0,15,25,24,34,3,3,0,5,0,6,16,1,1,1,1,4,13,4,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ricardo Ramos,Said Nurmagomedov,1,2:28,Ricardo Ramos,http://ufcstats.com/fight-details/9192053a3884aadf,2019-02-02,0,2,8,2,8,0,0,0,0,0,1,5,1,2,0,1,2,8,0,0,0,0,1,17,24,17,24,0,0,0,0,0,1,5,1,2,0,1,2,8,0,0,0,0,0,2,8,2,8,0,0,0,0,0,6,13,6,6,5,5,12,19,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Magomed Bibulatov ""Chaborz""",Rogerio Bontorin,3,5:00,"Magomed Bibulatov ""Chaborz""",http://ufcstats.com/fight-details/8f8a6c578308d014,2019-02-02,0,14,24,16,26,3,4,0,0,0,4,13,10,11,0,0,10,19,3,4,1,1,0,13,20,23,30,0,0,2,1,1,4,13,10,11,0,0,10,19,3,4,1,1,0,14,24,16,26,3,4,0,0,0,8,15,4,4,1,1,9,16,3,3,1,1,0,12,28,14,30,0,1,0,0,0,9,23,8,8,1,1,12,25,4,4,2,3,0,18,32,22,37,1,2,0,0,0,7,22,4,4,1,2,10,26,2,2,0,0,0,15,29,15,29,1,2,0,1,0,8,21,17,20,1,1,19,34,7,8,0,0,0,26,42,28,44,0,2,0,0,0,12,25,3,4,0,0,14,28,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Henry Cejudo ""The Messenger""",TJ Dillashaw,1,0:32,"Henry Cejudo ""The Messenger""",http://ufcstats.com/fight-details/85511ab7fd9ed061,2019-01-19,1,18,23,18,23,0,0,0,0,0,17,22,1,1,0,0,3,6,0,0,15,17,0,1,3,1,3,0,0,0,0,0,17,22,1,1,0,0,3,6,0,0,15,17,1,18,23,18,23,0,0,0,0,0,0,1,0,0,1,2,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Greg Hardy ""Prince of War""","Allen Crowder ""Pretty Boy""",2,2:28,"Greg Hardy ""Prince of War""",http://ufcstats.com/fight-details/8da2c348ba6001a0,2019-01-19,0,21,39,27,45,0,0,0,0,0,16,34,4,4,1,1,11,28,5,6,5,5,0,7,16,11,20,1,2,1,2,0,16,34,4,4,1,1,11,28,5,6,5,5,0,21,39,27,45,0,0,0,0,0,7,16,0,0,0,0,3,11,1,2,3,3,0,5,14,5,14,0,1,0,0,0,5,22,1,1,2,2,6,23,1,1,1,1,0,8,25,8,25,0,0,0,0,0,5,14,0,0,0,0,5,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Gregor Gillespie ""The Gift""",Yancy Medeiros,2,4:59,"Gregor Gillespie ""The Gift""",http://ufcstats.com/fight-details/0261adcfc6e49150,2019-01-19,0,12,16,15,19,3,7,0,2,1,3,7,6,6,3,3,0,3,5,6,7,7,0,0,4,0,4,0,0,0,0,1,3,7,6,6,3,3,0,3,5,6,7,7,0,12,16,15,19,3,7,0,2,1,0,4,0,0,0,0,0,3,0,0,0,1,0,1,8,1,8,0,0,0,0,0,35,51,4,4,0,0,1,8,1,3,37,44,0,39,55,58,76,3,4,0,5,0,1,7,0,1,0,0,1,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Joseph Benavidez,Dustin Ortiz,3,5:00,Joseph Benavidez,http://ufcstats.com/fight-details/4738cd4cd8d33eeb,2019-01-19,1,9,21,13,28,3,4,0,1,0,3,11,2,3,4,7,8,17,0,0,1,4,0,16,29,25,39,0,1,0,0,0,3,11,2,3,4,7,8,17,0,0,1,4,1,9,21,13,28,3,4,0,1,0,7,18,9,10,0,1,8,21,7,7,1,1,0,19,35,34,50,3,7,0,2,0,4,13,4,5,3,4,11,21,0,1,0,0,0,11,22,12,23,1,4,0,0,1,8,22,11,13,0,0,9,24,10,11,0,0,0,14,23,34,47,0,0,0,0,1,0,6,0,0,1,1,1,6,0,1,0,0,0,1,7,12,21,3,4,0,1,1,6,14,8,9,0,0,3,10,5,5,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Paige VanZant ""12 Gauge""",Rachael Ostovich,2,1:50,"Paige VanZant ""12 Gauge""",http://ufcstats.com/fight-details/7ddd21d48e3b34b9,2019-01-19,0,2,7,12,17,0,1,1,0,0,1,6,0,0,1,1,2,7,0,0,0,0,0,6,8,9,12,3,3,0,4,0,1,6,0,0,1,1,2,7,0,0,0,0,0,2,7,12,17,0,1,1,0,0,4,6,2,2,0,0,4,5,0,0,2,3,0,4,6,4,6,1,1,0,0,0,12,17,1,1,2,2,3,6,0,0,12,14,0,15,20,26,39,0,0,1,1,0,3,5,0,0,1,1,4,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Glover Teixeira,"Karl Roberson ""Baby K""",1,3:21,Glover Teixeira,http://ufcstats.com/fight-details/5d1f24e034772338,2019-01-19,0,6,11,20,26,1,3,1,3,0,6,11,0,0,0,0,0,3,0,0,6,8,1,24,30,29,35,0,0,0,2,0,6,11,0,0,0,0,0,3,0,0,6,8,0,6,11,20,26,1,3,1,3,0,22,28,2,2,0,0,1,3,6,6,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Alexander Hernandez ""The Great""","Donald Cerrone ""Cowboy""",2,3:43,"Alexander Hernandez ""The Great""",http://ufcstats.com/fight-details/3dd0951b8855137d,2019-01-19,0,31,71,35,75,0,0,0,0,0,13,39,16,30,2,2,21,59,10,12,0,0,0,36,87,37,88,1,1,0,0,0,13,39,16,30,2,2,21,59,10,12,0,0,0,31,71,35,75,0,0,0,0,0,26,77,9,9,1,1,30,79,6,8,0,0,1,44,75,44,75,0,0,0,0,0,7,20,9,12,2,2,11,23,7,11,0,0,0,18,34,19,35,0,2,0,0,0,32,59,9,13,3,3,22,45,8,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Joanne Calderwood ""JoJo""","Ariane Lipski ""Queen of Violence""",3,5:00,"Joanne Calderwood ""JoJo""",http://ufcstats.com/fight-details/77c6a6f33289b872,2019-01-19,0,20,28,40,52,1,1,1,4,0,16,23,3,3,1,2,1,6,5,5,14,17,0,13,25,13,25,0,0,0,0,0,16,23,3,3,1,2,1,6,5,5,14,17,0,20,28,40,52,1,1,1,4,0,6,18,7,7,0,0,7,17,6,8,0,0,0,30,88,30,88,0,0,0,0,0,23,63,13,22,11,12,40,85,7,12,0,0,0,47,97,50,100,0,2,0,0,0,15,65,11,15,4,8,26,83,4,5,0,0,0,10,41,26,58,1,1,0,1,0,8,31,2,7,8,9,16,45,2,2,0,0,0,18,47,31,61,0,0,1,0,1,8,32,1,4,1,5,9,40,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Alonzo Menifield,"Vinicius Moreira ""Mamute""",1,3:56,Alonzo Menifield,http://ufcstats.com/fight-details/8a9c8f1d53d8c664,2019-01-19,1,33,60,35,62,0,0,0,0,0,32,59,0,0,1,1,24,46,0,0,9,14,0,11,21,12,22,0,4,0,0,0,32,59,0,0,1,1,24,46,0,0,9,14,1,33,60,35,62,0,0,0,0,0,0,6,6,9,5,6,8,16,3,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Cory Sandhagen,Mario Bautista,1,3:31,Cory Sandhagen,http://ufcstats.com/fight-details/efbab76bedbfb65d,2019-01-19,1,17,54,17,55,1,2,2,2,0,9,43,2,3,6,8,13,47,0,0,4,7,0,9,30,10,32,1,1,0,0,0,9,43,2,3,6,8,13,47,0,0,4,7,1,17,54,17,55,1,2,2,2,0,4,22,3,4,2,4,9,29,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Dennis Bermudez ""The Menace""","Te Edwards ""Tango""",3,5:00,"Dennis Bermudez ""The Menace""",http://ufcstats.com/fight-details/2ea1f463620bcd3d,2019-01-19,0,19,55,22,59,1,4,0,1,0,12,46,4,4,3,5,12,37,2,8,5,10,1,16,31,16,31,0,0,0,0,0,12,46,4,4,3,5,12,37,2,8,5,10,0,19,55,22,59,1,4,0,1,0,10,22,3,5,3,4,13,27,2,2,1,2,0,2,10,2,10,0,0,0,0,0,10,15,4,5,2,3,8,15,1,1,7,7,0,16,23,24,32,2,2,0,3,0,2,10,0,0,0,0,0,8,2,2,0,0,0,5,15,6,16,0,0,0,0,0,20,35,4,4,4,5,7,12,0,1,21,31,0,28,44,37,56,2,3,2,4,0,4,14,0,0,1,1,2,6,0,0,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Belal Muhammad ""Remember the Name""","Geoff Neal ""Handz of Steel""",3,5:00,"Belal Muhammad ""Remember the Name""",http://ufcstats.com/fight-details/2cc1fe3570999428,2019-01-19,0,11,41,11,41,0,2,0,0,0,6,32,3,6,2,3,9,36,2,5,0,0,0,16,47,16,47,0,0,0,0,0,6,32,3,6,2,3,9,36,2,5,0,0,0,11,41,11,41,0,2,0,0,0,10,39,4,6,2,2,13,42,3,5,0,0,0,29,69,29,69,0,0,0,0,0,11,60,9,20,3,3,22,79,1,4,0,0,0,23,83,24,84,0,3,0,0,0,26,66,3,3,0,0,24,60,5,9,0,0,2,26,74,26,74,0,0,0,0,0,22,71,6,8,1,1,28,78,1,2,0,0,0,29,80,29,80,0,2,0,0,0,25,73,1,1,0,0,18,60,3,4,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Kyle Stewart ""Gunz Up""","Chance Rencountre ""Black Eagle""",1,2:25,"Kyle Stewart ""Gunz Up""",http://ufcstats.com/fight-details/e76227f395b94e47,2019-01-19,0,2,11,2,11,0,0,0,0,0,0,9,2,2,0,0,2,11,0,0,0,0,0,6,9,13,22,2,3,1,1,0,0,9,2,2,0,0,2,11,0,0,0,0,0,2,11,2,11,0,0,0,0,0,5,8,0,0,1,1,4,7,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Jon Jones ""Bones""","Alexander Gustafsson ""The Mauler""",3,2:02,"Jon Jones ""Bones""",http://ufcstats.com/fight-details/ceaae1db8ccde29c,2018-12-29,0,19,36,20,37,0,3,0,0,0,5,17,7,8,7,11,15,31,4,5,0,0,0,13,32,14,33,0,0,0,0,0,5,17,7,8,7,11,15,31,4,5,0,0,0,19,36,20,37,0,3,0,0,0,4,18,4,6,5,8,10,29,3,3,0,0,0,8,48,8,48,0,0,0,0,0,8,20,8,14,11,17,24,48,3,3,0,0,0,27,51,27,51,0,1,0,0,0,7,42,0,4,1,2,8,48,0,0,0,0,0,1,3,2,4,0,0,0,0,0,13,15,0,0,0,0,1,2,0,0,12,13,0,13,15,16,18,1,1,0,3,0,1,2,0,1,0,0,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Cris Cyborg ""Cyborg""","Amanda Nunes ""Lioness""",1,0:51,"Cris Cyborg ""Cyborg""",http://ufcstats.com/fight-details/3278e45b30f7dd33,2018-12-29,0,3,15,3,15,0,1,0,0,0,1,12,2,3,0,0,3,14,0,1,0,0,2,13,21,13,21,0,0,0,0,0,1,12,2,3,0,0,3,14,0,1,0,0,0,3,15,3,15,0,1,0,0,0,12,20,0,0,1,1,12,19,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Carlos Condit ""The Natural Born Killer""","Michael Chiesa ""Maverick""",2,0:56,"Carlos Condit ""The Natural Born Killer""",http://ufcstats.com/fight-details/1ca41d3b11d88b36,2018-12-29,0,4,15,19,30,0,0,1,0,1,2,11,2,4,0,0,1,9,2,4,1,2,0,9,17,13,26,3,4,0,2,0,2,11,2,4,0,0,1,9,2,4,1,2,0,4,15,19,30,0,0,1,0,1,7,15,2,2,0,0,1,3,2,2,6,12,0,1,5,3,7,1,1,1,1,0,0,7,0,1,1,1,1,9,0,0,0,0,0,1,9,1,9,0,0,0,0,0,1,5,0,0,0,0,1,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Ilir Latifi ""The Sledgehammer""","Corey Anderson ""Overtime""",3,5:00,"Ilir Latifi ""The Sledgehammer""",http://ufcstats.com/fight-details/9ee818e10dcf3b45,2018-12-29,0,12,30,12,30,0,2,0,0,0,7,24,1,2,4,4,8,21,4,9,0,0,0,7,29,7,29,0,1,0,0,0,7,24,1,2,4,4,8,21,4,9,0,0,0,12,30,12,30,0,2,0,0,0,4,24,1,3,2,2,7,28,0,1,0,0,0,16,43,21,48,0,2,0,0,0,9,21,1,1,1,1,7,18,4,5,0,0,0,11,23,12,24,0,2,0,0,0,6,30,8,11,2,2,15,39,1,4,0,0,0,17,49,17,50,0,1,0,0,0,7,21,1,2,2,2,8,23,2,2,0,0,0,10,25,10,25,0,0,0,0,0,14,39,2,8,1,2,16,47,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Chad Mendes ""Money""","Alexander Volkanovski ""The Great""",2,4:14,"Chad Mendes ""Money""",http://ufcstats.com/fight-details/a5ea53104392fa9f,2018-12-29,0,15,27,15,27,1,2,0,0,0,7,17,3,4,5,6,14,26,1,1,0,0,0,16,53,16,53,0,0,0,0,0,7,17,3,4,5,6,14,26,1,1,0,0,0,15,27,15,27,1,2,0,0,0,7,35,4,8,5,10,16,51,0,2,0,0,1,38,71,38,71,0,0,0,0,0,9,20,3,3,1,1,10,20,3,4,0,0,1,13,24,13,24,2,2,0,1,0,29,56,6,11,3,4,30,62,5,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Andrei Arlovski ""The Pitbull""","Walt Harris ""The Big Ticket""",3,5:00,"Andrei Arlovski ""The Pitbull""",http://ufcstats.com/fight-details/819af4bbad55324d,2018-12-29,0,15,36,17,38,0,1,0,0,0,8,25,1,4,6,7,14,33,1,3,0,0,0,13,40,14,41,0,1,0,0,0,8,25,1,4,6,7,14,33,1,3,0,0,0,15,36,17,38,0,1,0,0,0,8,30,5,9,0,1,10,34,3,6,0,0,0,7,21,8,22,1,2,0,1,0,7,17,5,5,5,6,17,28,0,0,0,0,0,17,28,17,28,0,0,0,0,0,2,15,5,6,0,0,7,20,0,1,0,0,0,4,32,4,32,0,0,0,0,0,5,18,5,8,2,3,12,29,0,0,0,0,0,12,29,14,31,0,0,0,0,0,3,27,1,5,0,0,4,31,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Cat Zingano ""Alpha""",Megan Anderson,1,1:01,"Cat Zingano ""Alpha""",http://ufcstats.com/fight-details/b0e16dd491bc4fea,2018-12-29,0,3,6,3,6,0,0,0,0,0,0,1,0,0,3,5,3,6,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,1,0,0,3,5,3,6,0,0,0,0,0,3,6,3,6,0,0,0,0,0,2,8,1,1,0,0,3,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Douglas Silva de Andrade ""D Silva""","Petr Yan ""No Mercy""",2,5:00,"Douglas Silva de Andrade ""D Silva""",http://ufcstats.com/fight-details/498e7b0800af226c,2018-12-29,0,18,52,18,52,0,1,0,0,0,8,28,7,14,3,10,17,51,1,1,0,0,0,31,56,35,60,2,2,0,0,0,8,28,7,14,3,10,17,51,1,1,0,0,0,18,52,18,52,0,1,0,0,0,14,35,15,18,2,3,28,52,0,0,3,4,0,45,62,66,85,1,2,1,1,0,5,16,3,6,2,3,9,24,1,1,0,0,0,10,25,10,25,0,0,0,0,0,35,51,8,9,2,2,14,26,8,8,23,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"BJ Penn ""The Prodigy""","Ryan Hall ""The Wizard""",1,2:46,"BJ Penn ""The Prodigy""",http://ufcstats.com/fight-details/bd7a8c6c74655afc,2018-12-29,0,3,8,8,15,0,0,0,0,0,1,5,1,1,1,2,2,5,0,0,1,3,0,6,15,8,19,0,0,1,0,0,1,5,1,1,1,2,2,5,0,0,1,3,0,3,8,8,15,0,0,0,0,0,0,7,1,2,5,6,6,14,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
