,name,nick_name,fight_record,height,weight,reach,stance,DOB
530,Izabela Badurek,,5-3-0,"5' 5""",115 lbs.,--,Orthodox,"Jul 11, 1991"
531,Oleg Taktarov,The Russian Bear,17-5-2,"6' 0""",210 lbs.,--,Orthodox,"Aug 26, 1967"
532,Frankie Edgar,The Answer,22-6-1,"5' 6""",145 lbs.,"68""",Orthodox,"Oct 16, 1981"
533,Chad Vance,,6-5-0,"6' 0""",185 lbs.,--,Orthodox,--
534,Lyoto Machida,The Dragon,24-8-0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978"
535,Katsuhiko Nagata,,6-7-2,"5' 7""",154 lbs.,--,Southpaw,"Oct 31, 1973"
536,Tom Aaron,,5-3-0,--,155 lbs.,--,,"Jul 13, 1978"
537,Ivan Salaverry,,13-8-0,"6' 0""",185 lbs.,--,Orthodox,"Jan 11, 1971"
538,Mehdi Baghdad,The Sultan,11-4-0,"6' 1""",155 lbs.,"75""",Orthodox,"Apr 13, 1985"
539,Shamar Bailey,,12-5-0,"5' 9""",155 lbs.,"75""",,"Sep 22, 1982"
540,Ben Earwood,,12-3-0,"5' 8""",170 lbs.,--,Orthodox,--
541,Egan Inoue,,13-8-0,"5' 9""",190 lbs.,--,Southpaw,"Jul 04, 1965"
542,Pawel Nastula,,4-4-0,"6' 0""",230 lbs.,--,Southpaw,"Jun 26, 1970"
543,Sean Daugherty,,0-2-0,"6' 0""",175 lbs.,--,,"Dec 04, 1975"
544,Brandon Magana,,6-2-0,--,170 lbs.,--,Orthodox,--
545,Soa Palelei,The Hulk,22-5-0,"6' 4""",265 lbs.,"81""",Orthodox,"Jul 12, 1977"
546,Sean O'Malley,Sugar,10-0-0,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994"
547,Carlos Candelario,The Cannon,6-0-0,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991"
548,Andy Uhrich,,6-3-0,"6' 0""",170 lbs.,--,,--
549,Allan Nascimento,Puro Osso,17-4-0,"5' 9""",125 lbs.,--,Orthodox,"Sep 11, 1991"
550,Andrew Ramm,The,4-4-0,"6' 1""",160 lbs.,--,,--
551,Rhadi Ferguson,,3-0-0,"5' 7""",205 lbs.,--,,--
552,Kai Kara-France,Don't Blink,19-7-0 (1 NC),"5' 5""",125 lbs.,"69""",Orthodox,"Mar 26, 1993"
553,Marcin Bandel,Bomba,13-4-0,"5' 10""",155 lbs.,"70""",Orthodox,"Oct 10, 1989"
554,Eddie Yagin,The Filipino Phenom,16-5-1,"5' 7""",145 lbs.,--,Orthodox,"Mar 23, 1979"
555,Marius Zaromskis,The Whitemare,15-7-0 (1 NC),"5' 9""",170 lbs.,--,Orthodox,"Jul 30, 1980"
556,Brian Davidson,,8-3-0,"5' 6""",145 lbs.,--,,--
557,Caol Uno,Uno Shoten,26-15-5,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975"
558,Yves Edwards,,42-22-1 (1 NC),"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976"
559,Denis Kang,,34-15-2 (2 NC),"5' 11""",185 lbs.,"77""",Orthodox,"Sep 17, 1977"
560,Canaan Kawaihae,,4-1-0 (1 NC),"6' 0""",145 lbs.,--,Southpaw,"Aug 26, 1997"
561,Manny Tapia,The Mangler,11-4-1,"5' 5""",135 lbs.,"67""",Orthodox,"Mar 14, 1981"
562,CJ Hamilton,The Autobot,11-4-0,"5' 7""",125 lbs.,"68""",Switch,"Oct 07, 1986"
563,Christian Uflacker,,3-0-0,"5' 11""",170 lbs.,--,,"Aug 04, 1985"
564,Jeremiah O'Neal,,13-25-0,"5' 8""",260 lbs.,--,,"Oct 25, 1977"
565,Scott Baker,,1-1-0,"6' 0""",210 lbs.,--,,--
566,Matt Ramirez,The Machine,2-3-0,"5' 5""",125 lbs.,--,,--
567,Rob MacDonald,Maximus,5-4-0,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978"
568,Juan Adams,The Kraken,5-0-0,"6' 5""",265 lbs.,"81""",Orthodox,"Jan 16, 1992"
569,Josh LaBerge,,8-5-0,"5' 10""",145 lbs.,--,,--
570,Austin Vanderford,AK-47,4-0-0,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990"
571,Yao Zhikui,The Conqueror,2-5-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991"
572,Joao Zeferino,The Brazilian Samurai,13-6-0,"5' 11""",170 lbs.,"73""",Orthodox,"Jan 15, 1986"
573,Saparbeg Safarov,,8-2-0,"6' 1""",205 lbs.,"78""",Orthodox,"Oct 14, 1986"
574,Yoshihisa Yamamoto,,14-24-1,"6' 2""",220 lbs.,--,Southpaw,"Jul 04, 1970"
575,Bryan Barberena,Bam Bam,14-5-0,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989"
576,Junior Barata,,8-3-1,"5' 10""",170 lbs.,--,Orthodox,"Jan 25, 1982"
577,Jeremy Umphries,,5-2-0,--,160 lbs.,--,,--
578,Yushin Okami,Thunder,35-12-0,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981"
579,Stephen Palling,Bozo,11-7-1,"5' 4""",143 lbs.,--,,"Jan 29, 1967"
580,Vernon Ramos,,3-2-0,"5' 6""",170 lbs.,"72""",Orthodox,"Jun 03, 1992"
581,Lina Lansberg,Elbow Queen,8-4-0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
582,Zelim Imadaev,,8-0-0,"6' 0""",170 lbs.,--,,"Jan 25, 1995"
583,Masutatsu Yano,,2-4-1,"5' 9""",198 lbs.,--,Orthodox,"Jul 11, 1975"
584,Jeremiah Labiano,The Kid,11-5-0,"5' 10""",135 lbs.,--,,--
585,Matt Veach,,15-4-0,"5' 11""",155 lbs.,--,Orthodox,"May 31, 1981"
586,Shane Campbell,Shaolin,12-6-0,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987"
587,Anthony Lapsley,The Recipe,25-7-0 (2 NC),"5' 9""",170 lbs.,"71""",Southpaw,"Feb 13, 1980"
588,Renan Barao,The Baron,36-7-0 (1 NC),"5' 6""",135 lbs.,"70""",Orthodox,"Jan 31, 1987"
589,Tadao Yasuda,,2-4-0,"6' 4""",310 lbs.,--,Orthodox,"Oct 09, 1963"
590,Ben Wall,Manimal,7-2-1,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 25, 1989"
591,Joao Paulo Faria,,1-1-0,"5' 9""",155 lbs.,--,,--
592,Darren Uyenoyama,BC,8-5-0,"5' 6""",125 lbs.,"64""",Orthodox,"Oct 15, 1979"
593,Johnny Eduardo,,28-12-0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978"
594,Bernardo Magalhaes,Trekko,11-3-0,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981"
595,Sean O'Connell,The Real OC,17-9-0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 02, 1983"
596,Cynthia Calvillo,,7-1-0,"5' 4""",115 lbs.,"64""",Orthodox,"Jul 13, 1987"
597,Ryan Bader,Darth,23-5-0,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983"
598,TJ O'Brien,The Spider,16-5-0,"6' 2""",155 lbs.,--,Orthodox,"Jan 01, 1987"
